gene,log2fc,pval,neg_log10_pval
'HN1',1.5408440989246202,2.55293522904547e-75,74.59296020361525
'EXOSC5',1.5354270238135566,3.946077036175503e-26,25.403834440609586
'CDH13',1.5316277076466822,7.383568394896456e-50,49.13173369784255
'MRPS30',1.5311240013558376,7.0453330255042514e-34,33.15209847342467
'LAMC2',1.5291090565127679,6.364815209932945e-34,33.19621420072539
'MED28',1.5225322055541173,3.2226781398876145e-38,37.491783066827345
'SMYD2',1.5221341795115662,1.1969074914937964e-24,23.921939414745072
'PCCB',1.5218251425470488,3.379376666738307e-36,35.47116339888239
'COA6',1.5207921025015254,1.1909390355833257e-46,45.92411046957298
'PSMG1',1.5177984991111046,2.8441576743276277e-30,29.546046330870443
'CAPNS2',1.517157364213053,8.283323515390243e-12,11.08179537640456
'GMNN',1.5152317817752823,2.836478669315849e-27,26.54722047803732
'PYCARD',1.5124889382079627,4.9061191305577564e-49,48.309261910447674
'IL20RB',1.5120684099332877,1.9565188210973043e-27,26.708515969966527
'ACTL6A',1.5118369630940982,1.5946855132125037e-51,50.79732495106634
'NCK1',1.5104663281605153,1.7256443910554418e-37,36.763048695824814
'TP53TG1',1.510313954149115,1.3421249096131413e-31,30.872207063130308
'PKP3',1.5088130109540128,3.863415272986076e-53,52.41302860765296
'CCT5',1.5052382173381877,1.9300609562385665e-83,82.71442897465026
'PLS3',1.5050992046400982,2.0865167112015702e-59,58.68057813261363
'TMEM251',1.499558482341728,2.135327362279569e-20,19.67053553481552
'ICT1',1.4988885297635772,7.728621397274013e-26,25.11189796700692
'MRPS17',1.4987947730928879,8.946001929603709e-29,28.048371012488406
'FH',1.4946638183605692,1.8830604438798191e-35,34.72513573945112
'IAH1',1.4935189325473275,7.46255728481564e-29,28.127112322075796
'PIGS',1.4871974701134096,2.3690752297210184e-38,37.62542114808519
'CSTF2',1.4807913876265542,4.26880482955772e-27,26.369693700755608
'DPF2',1.4807586637094183,8.596590809628668e-34,33.06567374481573
'SLC2A1',1.4755274072852342,6.600771792479471e-80,79.18040528178865
'CPSF3',1.475245347677635,2.5508500935429346e-28,27.59331506293472
'TARS',1.4736244627271764,5.996428842983066e-57,56.2221073155367
'SHMT2',1.4732743862340199,2.1551222379684506e-39,38.66652809173545
'JMJD7',1.4729085290112163,9.204370858088626e-26,25.036005891266246
'HIST1H2BK',1.4727835437197552,5.812344998382542e-28,27.23564861556345
'RAB34',1.4717566361547436,2.5676520199581947e-37,36.59046383420604
'ERAL1',1.4712536137371737,1.020458069781428e-35,34.99120483556983
'DTYMK',1.4711074826590054,1.262754107927065e-31,30.898681209988723
'POLR2C',1.4673039220789559,9.104535445784296e-36,35.04074220895522
'SNHG6',1.4666420875125492,5.946143606793958e-39,38.225764606250316
'TXNRD1',1.465822634099714,2.5925028254774874e-35,34.58628076161641
'USP39',1.465421898001958,5.526890239168898e-39,38.25751916016883
'IARS2',1.4652256697406918,7.574240473818205e-39,38.12066091062338
'MFAP1',1.464633746785412,7.2970033893302215e-28,27.13685545202511
'TMEM14A',1.4579680659286882,3.266273515918764e-53,52.48594745049937
'EPS8',1.4577559643852758,5.08499561069161e-19,18.293709417618963
'TUBB6',1.4562803338516794,3.352868555481161e-37,36.47458347214475
